#AC #Seg #pedestal #1PE
### AC1 offset ####
1 0 16178 16583
1 1 15905 16234
1 2 16056 16454
1 3 15969 16298
1 4 16113 16492
1 5 16449 16853
1 6 15965 16350
1 7 16011 16400
1 8 16264 16653
1 9 16164 16552
1 10 16305 16671
1 11 16165 16562
1 12 16248 16531
1 13 16192 16627
1 14 16166 16551
1 15 16062 16302
1 16 16181 16531
1 17 16181 16531
1 18 16203 16572
1 19 16115 16480
1 20 16219 16562
1 21 16122 16462
1 22 15939 16303
1 23 16056 16381
## AC2 offset ###
2 0 16576 16840
2 1 16502 16839
2 2 16425 16751
2 3 16530 16935
2 4 16483 16786
2 5 16099 16972
2 6 16480 16838
2 7 16501 16812
2 8 16513 16842
2 9 16542 16950
2 10 16481 16884
2 11 16494 16877
2 12 16490 16822
2 13 16515 16853
2 14 16543 16850
2 15 16566 16876
2 16 16528 16839
2 17 16521 16876
2 18 16550 16927
2 19 16496 16890
2 20 16550 16930
2 21 16525 16856
2 22 16518 16830
2 23 16445 16826
2 24 16506 16821
2 25 16513 16944

